FM Lung,FM Lymph,FM Uterine,FM Mammary,MM Lung,MR MCL1,MR Testes1,MR Brain1,MR MCL2,MR Testes2,MR Brain2,FR MCL,FR Brain
6331,7607,18053,4341,3909,8351,10368,30497,5251,9332,18754,2708,26666
7252,8723,19816,4704,4130,9079,10895,33030,5677,10138,20054,2852,29006
8002,9737,21084,4957,4284,9607,11253,34789,5977,10705,20950,2949,30529
8602,10535,22135,5161,4405,10048,11534,36191,6220,11164,21662,3026,31649
9108,11191,23066,5336,4508,10435,11772,37393,6431,11560,22267,3090,32606
9546,11743,23893,5491,4600,10788,11979,38464,6620,11914,22801,3147,33459
9932,12217,24536,5632,4683,11118,12166,39428,6793,12238,23286,3198,34244
10279,12631,25015,5763,4759,11432,12336,40299,6954,12541,23733,3245,34979
10592,12995,25395,5886,4831,11733,12496,41136,7107,12825,24150,3288,35676
10877,13318,25715,6003,4898,12023,12644,41933,7252,13097,24544,3329,36345
11139,13608,26000,6115,4962,12306,12786,42690,7392,13358,24917,3368,36992
11380,13869,26246,6222,5024,12582,12920,43417,7527,13609,25277,3405,37625
11604,14106,26477,6325,5083,12855,13048,44118,7659,13853,25621,3440,38250
11811,14322,26702,6426,5141,13125,13173,44808,7787,14089,25956,3473,38868
12005,14519,26911,6523,5197,13393,13292,45479,7913,14322,26279,3506,39476
12186,14700,27110,6619,5251,13660,13408,46117,8036,14550,26594,3538,40074
12355,14868,27307,6713,5305,13926,13522,46729,8157,14775,26903,3569,40679
12513,15021,27500,6805,5357,14191,13632,47336,8277,14996,27204,3600,41293
12661,15163,27686,6896,5408,14455,13740,47932,8396,15214,27501,3629,41901
12802,15296,27868,6985,5459,14724,13846,48526,8514,15430,27792,3658,42501
12935,15417,28048,7074,5509,14994,13950,49122,8631,15645,28079,3687,43113
13061,15530,28225,7161,5558,15265,14052,49713,8747,15858,28363,3715,43743
13182,15637,28400,7248,5607,15538,14153,50298,8863,16070,28644,3742,44377
13296,15737,28572,7335,5656,15815,14253,50876,8978,16282,28921,3770,45010
13404,15827,28741,7421,5704,16096,14351,51444,9093,16493,29197,3797,45653
13506,15910,28909,7506,5752,16380,14449,51999,9209,16704,29471,3823,46315
13601,15989,29076,7591,5799,16665,14545,52542,9325,16915,29742,3850,46992
13689,16065,29241,7677,5847,16958,14641,53088,9441,17126,30012,3876,47683
13771,16142,29404,7762,5894,17259,14736,53641,9558,17338,30282,3902,48386
13848,16219,29565,7847,5942,17563,14831,54196,9675,17550,30551,3928,49100
13921,16293,29726,7932,5989,17872,14926,54751,9793,17763,30820,3954,49824
13990,16364,29887,8017,6036,18190,15020,55304,9912,17978,31088,3980,50547
14053,16435,30047,8102,6084,18512,15113,55856,10031,18194,31357,4005,51277
14111,16505,30207,8188,6131,18838,15207,56408,10152,18412,31626,4031,52039
14165,16575,30367,8274,6179,19176,15301,56958,10274,18631,31895,4057,52824
14215,16647,30526,8361,6227,19525,15394,57507,10397,18853,32165,4082,53594
14264,16719,30685,8448,6275,19885,15488,58060,10522,19076,32435,4108,54352
14312,16792,30844,8536,6324,20255,15581,58620,10648,19302,32706,4133,55109
14360,16864,31003,8625,6372,20630,15675,59184,10775,19531,32980,4159,55868
14407,16937,31161,8714,6422,21017,15769,59753,10905,19762,33255,4184,56607
